model	score	params	duration	difficultyLevel
phi3.5:3b	0	3	NaN	1
nomotron-mini:4b	0	4	NaN	1
deepseek-coder-v2:23b	0	23	NaN	1
qwen2.5:0.5b	700	0.5	215663604	1
codegemma:2b	10	2	237202917	1
qwen2.5:1.5b	1000	1.5	294593250.5	1
starcoder2:3b	310	3	297883458	1
gemma2:2b	1000	2	336389542	1
deepseek-coder-v2:16b	1000	16	337427916.5	1
qwen2.5:3b	1000	3	361537166	1
llama3.2:3b	100	3	373120104.5	1
llava:7b	820	7	509297042	1
starcoder2:7b	460	7	595367874.5	1
mistral-nemo:12b	1000	12	710415875	1
gemma2:9b	1000	9	797594042	1
llama3.2:1b	100	1	878713583	1
qwen2.5:7b	1000	7	906578645.5	1
codegemma:7b	1000	7	936310687	1
mistral-small:22b	340	22	954019416.5	1
llava:13b	880	13	1008565458.5	1
gemma2:27b	1000	27	2009688312.5	1
qwen2.5:32b	1000	32	2174315729	1
llava:34b	1000	34	NaN	1
mixtral:8x7b	1000	56	1353122625	1
qwen2.5:14b	1000	14	1526473687.5	1
command-r:35b	1000	35	3232529146	1
qwen2.5:72b	1000	72	5668724729	1
mistral:7b	1000	7	7064868625	1
codegemma:2b	0	2	270502645.5	2
phi3.5:3b	0	3	NaN	2
nomotron-mini:4b	0	4	NaN	2
deepseek-coder-v2:23b	0	23	NaN	2
starcoder2:3b	740	3	NaN	2
qwen2.5:0.5b	800	0.5	680595021	2
qwen2.5:3b	2000	3	840905729	2
gemma2:2b	2000	2	908793187.5	2
qwen2.5:1.5b	1400	1.5	917855104.5	2
llama3.2:3b	680	3	1100615875	2
deepseek-coder-v2:16b	1820	16	1138867333.5	2
starcoder2:7b	380	7	1541041896	2
llava:7b	1160	7	1671594895.5	2
llama3.2:1b	500	1	1844093979.5	2
gemma2:9b	2000	9	1930514333.5	2
mistral-nemo:12b	2000	12	2746933250	2
llava:13b	1080	13	3301418334	2
llava:34b	1280	34	NaN	2
mistral:7b	2000	7	1978120166.5	2
codegemma:7b	2000	7	2843676145.5	2
qwen2.5:7b	2000	7	3270790895.5	2
mistral-small:22b	2000	22	3691983979	2
mixtral:8x7b	2000	56	4170043083.5	2
qwen2.5:14b	2000	14	4826259271	2
gemma2:27b	2000	27	6225290833.5	2
qwen2.5:32b	2000	32	6316060271	2
command-r:35b	2000	35	8560288312.5	2
qwen2.5:72b	2000	72	19380036333.5	2
codegemma:2b	0	2	447293584	3
phi3.5:3b	0	3	NaN	3
nomotron-mini:4b	0	4	NaN	3
deepseek-coder-v2:23b	0	23	NaN	3
starcoder2:7b	390	7	236767312.5	3
qwen2.5:0.5b	660	0.5	1663923521	3
llama3.2:1b	1020	1	1770991395.5	3
qwen2.5:1.5b	2280	1.5	2338212312	3
starcoder2:3b	660	3	2363373833	3
llama3.2:3b	660	3	2483729062.5	3
qwen2.5:3b	3000	3	2563441875	3
gemma2:2b	1200	2	2778146583.5	3
deepseek-coder-v2:16b	3000	16	4195545291.5	3
gemma2:9b	3000	9	5362884833	3
llava:7b	1020	7	5456074875	3
mistral:7b	930	7	6270551146	3
qwen2.5:7b	3000	7	7702488312.5	3
llava:13b	1200	13	8037721458.5	3
llava:34b	2280	34	NaN	3
codegemma:7b	3000	7	7205412541.5	3
mistral-nemo:12b	2460	12	8421576645.5	3
mixtral:8x7b	3000	56	10266171062.5	3
mistral-small:22b	3000	22	10460891958.5	3
qwen2.5:14b	3000	14	12002646271.5	3
gemma2:27b	3000	27	15497759375	3
qwen2.5:32b	3000	32	16457525854	3
command-r:35b	1830	35	20420236541.5	3
qwen2.5:72b	3000	72	65253462729	3
codegemma:2b	0	2	252931833	4
phi3.5:3b	0	3	NaN	4
nomotron-mini:4b	0	4	NaN	4
deepseek-coder-v2:23b	0	23	NaN	4
llama3.2:1b	1600	1	1625586188	4
qwen2.5:0.5b	1360	0.5	2663128292	4
starcoder2:3b	1600	3	2950645312.5	4
llama3.2:3b	1000	3	3017478000	4
qwen2.5:1.5b	1240	1.5	3461375917	4
gemma2:2b	2080	2	3468171104	4
qwen2.5:3b	2760	3	4160841708	4
starcoder2:7b	1480	7	4392999854.5	4
llava:34b	2800	34	NaN	4
deepseek-coder-v2:16b	3040	16	6148725875	4
gemma2:9b	4000	9	7521339312.5	4
llava:7b	680	7	8242442792	4
mistral:7b	4000	7	9816326312.5	4
qwen2.5:7b	4000	7	10082959833	4
codegemma:7b	4000	7	10117527166.5	4
llava:13b	3280	13	11024678833	4
mistral-nemo:12b	4000	12	12669960229	4
mixtral:8x7b	4000	56	13995336104	4
gemma2:27b	4000	27	16831300833.5	4
qwen2.5:14b	4000	14	18966006000.5	4
mistral-small:22b	4000	22	24326436999.5	4
qwen2.5:32b	4000	32	29646869145.5	4
command-r:35b	1480	35	32932787854	4
qwen2.5:72b	4000	72	90926113667	4
phi3.5:3b	0	3	NaN	5
nomotron-mini:4b	0	4	NaN	5
deepseek-coder-v2:23b	0	23	NaN	5
codegemma:2b	200	2	109728708	5
starcoder2:3b	1850	3	2129215333.5	5
qwen2.5:0.5b	650	0.5	3598062354.5	5
llava:34b	650	34	NaN	5
llama3.2:3b	1700	3	3897615854.5	5
starcoder2:7b	1800	7	4449735124.5	5
llama3.2:1b	1400	1	4477776875	5
gemma2:2b	800	2	5283839395.5	5
qwen2.5:1.5b	1100	1.5	5372431770.5	5
qwen2.5:3b	1250	3	8136738521	5
deepseek-coder-v2:16b	5000	16	9773644354	5
llava:7b	250	7	11358814458	5
mistral:7b	1100	7	13379805500.5	5
gemma2:9b	5000	9	13754657396	5
qwen2.5:7b	5000	7	13988827270.5	5
codegemma:7b	2000	7	15188460166.5	5
llava:13b	1350	13	18848485750	5
mistral-nemo:12b	4550	12	19113102417	5
mixtral:8x7b	3800	56	27337957687.5	5
qwen2.5:14b	5000	14	29496504041.5	5
gemma2:27b	5000	27	31571233729	5
mistral-small:22b	5000	22	40188912958.5	5
command-r:35b	4700	35	45449201833.5	5
qwen2.5:32b	5000	32	60830023853.5	5
qwen2.5:72b	5000	72	134164927354	5
